sample,nucleus_id,nucleus_size_px,avi_inside,avi_outside,avi_ratio,biotin_inside,biotin_outside,biotin_ratio,bira_inside,bira_outside,bira_ratio
7_2,15,20114,15149.218007358058,2194.3847372884406,6.903628953452191,23303.146564581883,4895.562569783014,4.7600548930609925,4434.141145470816,2420.629076883282,1.8318135512030047
7_2,23,9826,7250.779564420924,2194.3847372884406,3.304242615805182,10007.978424587829,4895.562569783014,2.0442958867200045,2619.4624465703237,2420.629076883282,1.0821411969251615
7_2,34,9208,15842.98251520417,2194.3847372884406,7.219783407161791,7380.3027801911385,4895.562569783014,1.5075494746497042,2875.005973066898,2420.629076883282,1.187710252893705
