label,area,centroid-0,centroid-1,avi_mean,bira_mean,biotin_mean,bbox-0,bbox-1,bbox-2,bbox-3,avi_outside_mean,bira_outside_mean,biotin_outside_mean,sample,sample_short,biotin_ratio,avi_ratio,bira_ratio,condition
11,16943.0,394.3475181490881,813.2706132326034,141.74125007377677,8810.099037950777,9628.656436286372,309,744,476,887,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,6.87104278796494,1.397675880512206,5.500755278133688,"S3
(BirA only)"
12,21651.0,448.24474620109925,257.78259664680616,135.15384970671101,1385.7958523855712,1917.2078887811188,359,164,528,348,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.3681262307371003,1.3327191328926333,0.8652483719636813,"S3
(BirA only)"
13,23847.0,502.9982387721726,711.3651612362142,154.50387889461987,1797.647377028557,2589.576173103535,401,640,603,784,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.847930581574621,1.5235250490890146,1.1223958158492002,"S3
(BirA only)"
14,12147.0,502.69720918745367,911.3007326911995,150.13740018111469,1512.884909854285,2163.3214785543755,437,845,570,970,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.5437537460837703,1.4804682679652446,0.9445988764986077,"S3
(BirA only)"
16,16700.0,629.6325149700599,822.8813772455089,144.6211976047904,1527.5295209580838,2245.2808982035926,560,746,702,893,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.602240273566907,1.4260743403758187,0.9537425219307905,"S3
(BirA only)"
17,18015.0,695.0889258950874,553.3252289758534,155.41221204551763,5513.861393283375,5672.2580627255065,615,480,773,628,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,4.047743120887371,1.5324819006464734,3.4426857213918374,"S3
(BirA only)"
19,16486.0,901.8956083950018,213.0234138056533,146.64976343564237,1379.055380322698,2120.425815843746,824,139,973,297,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.5131432516858079,1.4460775330408842,0.861039828209832,"S3
(BirA only)"
4,1391.0,40.30050323508267,708.373831775701,153.97340043134434,1072.4385334291876,804.7735442127965,23,686,60,739,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0070685274865987,0.41820325927397256,0.9981698336874573,"S4
(Avi only)"
5,1947.0,50.58808423215203,790.8638931689779,131.15100154083206,1074.753466872111,795.7267591165896,24,763,75,816,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.9957476626161753,0.35621591877408726,1.0003244529571806,"S4
(Avi only)"
6,2002.0,58.612887112887115,950.7252747252747,125.07692307692308,1073.6483516483515,786.056943056943,29,920,80,979,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.983647156218714,0.3397182678579133,0.9992958693650019,"S4
(Avi only)"
7,1494.0,56.37817938420348,745.8500669344043,168.41834002677376,1074.5575635876842,821.3795180722891,33,725,83,765,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0278487255465616,0.45743679442940255,1.0001421164010613,"S4
(Avi only)"
8,2181.0,68.76662081613938,430.6377808344796,145.93397524071526,1077.4942686840898,798.8106373223292,40,402,94,458,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.999606731674714,0.3963675798125093,1.0028754482856357,"S4
(Avi only)"
9,2237.0,65.82521233795262,865.9901654000894,138.99374161823872,1076.9611086276263,800.8609745194457,40,834,86,915,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0021724597317552,0.37751738677324687,1.002379210722083,"S4
(Avi only)"
10,1808.0,62.033185840707965,608.0652654867257,147.18196902654867,1078.766039823009,788.3025442477876,41,582,86,636,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.9864572315508973,0.399757224175283,1.0040591465085673,"S4
(Avi only)"
11,1351.0,69.29533678756476,251.97039230199852,191.89267209474463,1070.5447816432272,807.9925980754996,45,224,93,277,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0110967511486768,0.5211948341466737,0.9964072283293739,"S4
(Avi only)"
12,1007.0,62.853028798411124,99.6206554121152,564.6097318768619,1083.0754716981132,849.1161866931479,46,79,78,120,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.062557528074004,1.533522215052933,1.0080701408583375,"S4
(Avi only)"
13,1564.0,75.83503836317135,710.4872122762148,229.96675191815856,1077.8152173913043,796.2218670076726,55,688,99,737,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.9963672251979792,0.6246068795480411,1.0031741705971868,"S4
(Avi only)"
14,1222.0,94.61456628477904,127.2037643207856,432.83306055646483,1090.941898527005,837.2888707037644,73,101,113,147,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0477571935162895,1.175606930412337,1.0153918005290339,"S4
(Avi only)"
15,978.0,90.88343558282209,96.68098159509202,542.6441717791411,1086.344580777096,855.7188139059305,74,79,110,120,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0708198499563966,1.4738621127306415,1.011112857027105,"S4
(Avi only)"
16,997.0,90.15646940822468,163.90571715145435,283.13841524573724,1086.051153460381,829.7723169508525,75,144,108,183,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0383512124497483,0.7690250897214722,1.0108397501899344,"S4
(Avi only)"
17,2729.0,109.67057530230854,261.5031146940271,288.51557347013556,1078.5683400513008,814.388420666911,75,231,137,291,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0191002841742294,0.7836298531986413,1.0038751378758162,"S4
(Avi only)"
18,1131.0,94.49955791335101,547.3138815207781,131.30769230769232,1075.0618921308576,798.3996463306809,77,527,115,572,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.9990924303588397,0.3566415026036028,1.000611519096294,"S4
(Avi only)"
19,3459.0,106.83232148019658,881.8383925990171,158.6198323214802,1078.5319456490315,799.1257588898526,79,840,141,915,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0000010649816016,0.4308233154330608,1.0038412638650194,"S4
(Avi only)"
20,1254.0,116.73365231259969,609.7870813397129,162.311004784689,1076.66985645933,802.6794258373205,92,594,142,627,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0044480130276696,0.4408488156190138,1.0021081283995747,"S4
(Avi only)"
21,1653.0,121.43315184513007,706.8614640048397,126.49364791288566,1080.1712038717483,795.9431336963097,98,684,145,730,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.996018427020586,0.3435661983591178,1.0053669998923402,"S4
(Avi only)"
22,1912.0,129.16997907949792,389.0339958158996,168.8760460251046,1069.6537656903765,810.7803347280335,105,365,157,413,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0145852378986158,0.45867995811712375,0.9955779171681776,"S4
(Avi only)"
23,2142.0,136.50513538748834,460.39635854341736,151.5751633986928,1078.4407096171801,809.2250233426704,105,437,167,483,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.012638969711864,0.4116894683155556,1.0037563461267056,"S4
(Avi only)"
24,1463.0,127.63773069036228,819.2412850307587,124.8092959671907,1080.533151059467,796.755980861244,107,800,150,842,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,0.9970355986253792,0.338991372632851,1.0057038814504968,"S4
(Avi only)"
25,1113.0,134.03504043126685,425.07726864330635,147.125786163522,1092.3719676549865,809.0952380952381,113,410,155,442,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0124765604987866,0.3996046273217533,1.016722834261172,"S4
(Avi only)"
26,753.0,138.7436918990704,219.04249667994688,184.23771580345286,1060.7370517928287,809.3413014608234,123,204,153,237,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0127844765243945,0.5004034009403553,0.9872787050914775,"S4
(Avi only)"
27,1370.0,161.5014598540146,547.8591240875912,166.73430656934306,1085.9934306569344,824.7240875912408,138,529,186,568,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.032034015588398,0.45286283374105646,1.0107860248161062,"S4
(Avi only)"
28,1450.0,169.7,396.6448275862069,158.04620689655172,1090.048275862069,815.9027586206896,147,374,198,422,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0209952794858865,0.4292653059220968,1.0145600631762308,"S4
(Avi only)"
29,3022.0,177.44639311714096,776.3606882859034,162.1187954996691,1079.8180013236267,807.4212442091331,147,744,208,814,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0103817767300802,0.4403267608405075,1.0050382573884793,"S4
(Avi only)"
30,1881.0,182.42424242424244,825.5832004253057,277.01913875598086,1087.6485911749069,816.1648059542796,160,799,205,854,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0213231973508163,0.7524046775902496,1.0123265618701673,"S4
(Avi only)"
31,1975.0,200.67949367088607,502.20506329113925,174.37164556962026,1086.2764556962024,816.7518987341772,176,473,226,533,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0220578669552054,0.4736064170687515,1.011049449756156,"S4
(Avi only)"
32,1553.0,209.70508692852545,609.6877012234385,212.99935608499678,1089.216999356085,834.7952350289762,190,585,230,638,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0446367355624269,0.5785221647924956,1.013786354375342,"S4
(Avi only)"
33,2178.0,225.3406795224977,580.1620752984389,379.6515151515151,1098.4683195592286,845.4687786960515,192,552,259,610,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0579932754004502,1.0311618797784536,1.0223970005435974,"S4
(Avi only)"
34,1541.0,229.5496430889033,533.2978585334199,421.020116807268,1112.780661907852,858.6683971447112,205,510,254,554,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0745108664794156,1.1435220926176621,1.0357181820719432,"S4
(Avi only)"
35,1438.0,241.61265646731573,494.9116828929068,265.42837273991654,1096.3692628650904,836.4506258692629,220,475,263,519,368.1783845937785,1074.404873033846,799.1249078365283,SampleSample4,S4,1.0467082400594752,0.7209232911181657,1.020443308088526,"S4
(Avi only)"
