sample,total_nuclei,transfected_count,transfection_rate_pct,mean_avi_ratio,mean_biotin_ratio,mean_bira_ratio
S1,19,0,0.0,,,
S2,47,46,97.87234042553192,1.561495503703935,1.149476803954538,1.0314985112472157
S3,20,0,0.0,,,
S4,59,1,1.694915254237288,37.12680063484739,1.559398169712878,1.0752613593192715
S5,9,9,100.0,3.309474581684931,1.089706260589735,1.0272454722895004
S6,8,1,12.5,76.89758783544234,22.30247462333589,8.370303512105133
